"Product Name","Stock Count"
"Service a table Blanc Luxe","0"
"Service a table Blanc luxe doré","0"
"Service a table Blanc luxe avec reliefs","3"
"Service a table Blanc cassé gris","1"
"Service a table beige luxe","2"
"Service a café au lait A","10"
"Service café au lait B","10"
"Service a café au lait C","10"
"Service a café au lait D","10"
"Coussin de voyage (Rose)","1"
"Coussin de voyage (Marron)","1"
"Cadre décoratif 01","1"
"Cadre décoratif 02","1"
"Service a table avec motifs","10"
"Service a table motif 02","10"
"Service a table motif gris","10"
"Service a table Blue","1"
"Service a table Blanc luxe doré ref02","10"
"Service a table 24p vert","10"
"Service a table 24p Blanc","10"
"Service a table 24p Marron","10"
"Service a table 24p Marron foncé","10"
"Service a table 24p Gris","10"
"Service a table 24p Gris claire","10"
"Cocotte minute 12 Litres Ref 02",""
"Cocotte minute 06 Litres Ref 03",""
"Cocotte minute 08 Litres Ref 03",""
"Cocotte minute 10 Litres Ref 03",""
"Cocotte minute 12 Litres Ref 03",""
"Cocotte minute 06 Litres Ref 04",""
"Cocotte minute 08 Litres Ref 04",""
"Cocotte minute 10 Litres Ref 04",""
"Cocotte minute 12 Litres Ref 04",""
"Veilleuse cylindrique BB","10"
"Veilleuse cylindrique BNC","10"
"Veilleuse cylindrique BN","10"
"Veilleuse cylindrique BCB","10"
"Mixeur plongeant Cristor HB- K55GN","10"
"🍹 CRISTOR BLEND-IT : Noir","10"
"🍹 CRISTOR BLEND-IT : Blanc","10"
"Jarr Terracotta","1"
"Jarr Blanche beige","2"
"Jarr Blanche","2"
"Miroir Noir","10"
"Miroir Marron","10"
"Miroir Blanc","10"
"Veilleuse OVNI","10"
"Veilleuse BB8","10"
"Meuble de rangements Ref01","0"
"Meubles de rangements Ref02","0"
"Vase décoratif en poterie texturée – Blanc –50 cm","10"
"Vase décoratif en poterie texturée – Beige – 50 cm","10"
"Veilleuse cylindrique BC","10"
"Veilleuse cylindrique Miel","10"
"Service a café et café au lait 27P",""
"Thermos doré",""
"Thermo chromé",""
"Cafetière 10T Ref ATS PL008-10","3"
"Cafetière 06T Ref ATS PL008-6","3"
"Cafetière 04T Ref ATS PL008-4","3"
"Cafetière 02T Ref ATS PL008- 2","3"
"Cafetière 04T Ref 8900-4","3"
"Cafetière 06T Ref 8900-6","3"
"Cafetière 02T BECS Ref N9001-2","2"
"Service a table 24p Vert","10"
"Service a table 24p bleu","10"
"Service a table 24p Vert fleurie","2"
"Service a table 24p beige a fleurie","0"
"Tasses et souss tasse (thé)",""
"Service a table Olea Vert ",""
